names,scores,logfoldchanges,pvals,pvals_adj,cluster
Anxa2,378.52875,2.5858645,0.0,0.0,9
Cdkn2a,285.54706,2.8984387,0.0,0.0,9
Krt20,265.19183,3.116636,0.0,0.0,9
Plec,238.0723,1.713411,0.0,0.0,9
Ccnd1,217.55237,2.0681784,0.0,0.0,9
Cdh1,213.21376,1.9531457,0.0,0.0,9
Lmna,211.44655,1.9275086,0.0,0.0,9
Pkm,210.11569,1.7534268,0.0,0.0,9
Apob,192.0246,2.5703592,0.0,0.0,9
Ezr,190.78108,1.743664,0.0,0.0,9
Ywhaz,185.62831,1.1844114,0.0,0.0,9
Sdc1,181.60333,1.6597537,0.0,0.0,9
Pgk1,178.55882,2.0201893,0.0,0.0,9
Cd24a,177.89738,1.4286855,0.0,0.0,9
Fat1,175.53928,1.7804466,0.0,0.0,9
Mlph,174.52602,2.3919775,0.0,0.0,9
Flnb,159.91852,1.6295465,0.0,0.0,9
Caprin1,158.6396,1.2360559,0.0,0.0,9
Hspd1,158.22012,1.8385226,0.0,0.0,9
Hmga1,153.97867,2.5931165,0.0,0.0,9
Neat1,274.82266,2.1857,0.0,0.0,24
Krt20,259.97986,2.9952075,0.0,0.0,24
Cdkn2a,243.752,2.3889446,0.0,0.0,24
Sdc1,238.75328,2.1184633,0.0,0.0,24
Cdh1,234.67072,2.0863676,0.0,0.0,24
Fat1,230.65982,2.2507436,0.0,0.0,24
Apob,226.02151,2.8866322,0.0,0.0,24
Plec,220.13281,1.5620694,0.0,0.0,24
Lama5,208.07521,2.5181572,0.0,0.0,24
Mlph,203.82718,2.6450112,0.0,0.0,24
Anxa2,199.22562,1.3627646,0.0,0.0,24
Sema4g,194.14769,3.953272,0.0,0.0,24
Onecut2,193.54756,3.6065643,0.0,0.0,24
Cldn2,179.44455,2.9624386,0.0,0.0,24
Msln,179.21695,2.982529,0.0,0.0,24
Id2,169.56699,1.6951348,0.0,0.0,24
Flnb,162.86829,1.5968587,0.0,0.0,24
Hnf4a,159.49556,2.7095668,0.0,0.0,24
